NOMBRE,descripcion,CATEGORIA,ENLACE,,,,,
AutoGPT,"Plataforma pionera para crear, desplegar y gestionar agentes de IA autónomos que resuelven objetivos complejos sin intervención constante.",Framework de Agentes Autónomos,github.com/Significant-Gravitas/AutoGPT,,,,,
Langflow,"Entorno visual intuitivo y basado en diagramas (drag-and-drop) para diseñar, probar y desplegar agentes y flujos de trabajo complejos de IA.",Constructor Visual de Agentes,github.com/langflow-ai/langflow,,,,,
Dify,"Plataforma completa de nivel de producción que unifica la creación de workflows agénticos, pipelines RAG, gestión de modelos y observabilidad.",Desarrollo de Workflows Agénticos,github.com/langgenius/dify,,,,,
LangChain,"El estándar de la industria y la plataforma de ingeniería de software más adoptada para la integración, memoria y orquestación de LLMs con herramientas externas.",Framework y Orquestación de LLMs,github.com/langchain-ai/langchain,,, ,,
Browser-use,"Biblioteca que permite a cualquier agente de IA navegar de forma autónoma por internet, interactuando con páginas web, haciendo clics y rellenando formularios.",Automatización Web para Agentes,github.com/browser-use/browser-use,,,,,
AutoGen,Framework de Microsoft que permite definir agentes conversacionales capaces de colaborar entre sí para resolver tareas complejas.,Framework de Agentes Multi-Agente,github.com/microsoft/autogen,,,,,
CrewAI,"Framework diseñado para orquestar agentes de IA que asumen roles específicos, cooperan y ejecutan procesos estructurados.",Framework de Agentes Multi-Agente,github.com/crewAIInc/crewAI,,,,,
LlamaIndex,"Framework de datos optimizado para conectar fuentes de datos privadas con LLMs, ideal para construir motores RAG avanzados.",Infraestructura RAG y Datos,github.com/run-llama/llama_index,,,,,
Ollama,"Herramienta ligera y eficiente que permite ejecutar grandes modelos de lenguaje (LLMs) de forma local en macOS, Linux y Windows.",Despliegue Local de LLMs,github.com/ollama/ollama,,,,,
Flowise,Interfaz gráfica drag-and-drop para construir flujos de trabajo LLM y agentes interactivos utilizando componentes de LangChain.,Constructor Visual de Agentes,github.com/FlowiseAI/Flowise,,,,,
BabyAGI,Un agente autónomo de IA diseñado para simplificar la gestión de tareas mediante la auto-generación y priorización de objetivos.,Framework de Agentes Autónomos,github.com/yoheinakajima/babyagi,,,,,
vLLM,"Biblioteca ultrarrápida y fácil de usar para el servicio e inferencia de LLMs, optimizada para un alto rendimiento de tokens.",Servido de Modelos e Inferencia,github.com/vllm-project/vllm,,,,,
